"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source","range.size"
"Abditomys_latidens","Rodentia","Muridae","Abditomys","latidens",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",269,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs only on isolated islands","DD","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",5
"Abeomelomys_sevia","Rodentia","Muridae","Abeomelomys","sevia",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",52,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on large land bridge islands","LC","No",78,3,19,"Imputed 000 Species","PHYLACINE 1.2",10
"Abrawayaomys_ruschii","Rodentia","Cricetidae","Abrawayaomys","ruschii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",63,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",88,1,11,"Imputed 000 Species","PHYLACINE 1.2",20
"Abrocoma_bennettii","Rodentia","Abrocomidae","Abrocoma","bennettii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",250,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",28
"Abrocoma_boliviensis","Rodentia","Abrocomidae","Abrocoma","boliviensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",158,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","CR","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1
"Abrocoma_budini","Rodentia","Abrocomidae","Abrocoma","budini",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",360.7,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2
"Abrocoma_cinerea","Rodentia","Abrocomidae","Abrocoma","cinerea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",250,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",82
"Abrocoma_famatina","Rodentia","Abrocomidae","Abrocoma","famatina",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",233.4,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",4
"Abrocoma_shistacea","Rodentia","Abrocomidae","Abrocoma","shistacea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",276.3,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","LC","No",100,0,0,"Transformed 000 Species","Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",4
"Abrocoma_uspallata","Rodentia","Abrocomidae","Abrocoma","uspallata",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",245.8,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",1
"Abrocoma_vaccarum","Rodentia","Abrocomidae","Abrocoma","vaccarum",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",254.3,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",1
"Abrothrix_andinus","Rodentia","Cricetidae","Abrothrix","andinus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",18,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,0,30,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",103
"Abrothrix_illutea","Rodentia","Cricetidae","Abrothrix","illutea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",47.8,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",44,1,55,"Imputed 000 Species","PHYLACINE 1.2",12
"Abrothrix_jelskii","Rodentia","Cricetidae","Abrothrix","jelskii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",34.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,0,30,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",89
"Abrothrix_lanosus","Rodentia","Cricetidae","Abrothrix","lanosus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",32.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",55,0,45,"Imputed 000 Species","PHYLACINE 1.2",17
"Abrothrix_longipilis","Rodentia","Cricetidae","Abrothrix","longipilis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",37.6,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",11,0,89,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",116
"Abrothrix_olivaceus","Rodentia","Cricetidae","Abrothrix","olivaceus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",27,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",11,0,89,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",177
"Abrothrix_sanborni","Rodentia","Cricetidae","Abrothrix","sanborni",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",24.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","NT","No",44,0,56,"Imputed 000 Species","PHYLACINE 1.2",12
"Acinonyx_jubatus","Carnivora","Felidae","Acinonyx","jubatus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",46700,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","VU","No",0,100,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",870
"Acomys_airensis","Rodentia","Muridae","Acomys","airensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",48.3,"Assumed isometric based on head-body length","Isreal Journal of Zoology 40: 215-246 (1994)","Acomys_cahirinus","Isreal Journal of Zoology 40: 215-246 (1994)","Occurs on mainland","LC","No",0,0,100,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",238
"Acomys_cahirinus","Rodentia","Muridae","Acomys","cahirinus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",52.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",534
"Acomys_cilicicus","Rodentia","Muridae","Acomys","cilicicus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",42.5,"Reported","Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,"Occurs on mainland","DD","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1
"Acomys_cineraceus","Rodentia","Muridae","Acomys","cineraceus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",20.3,"Assumed isometric based on head-body length","Proceedings of the Unites States National Museum 106: 447-583 (1959)","Acomys_ignitus","Mammals of Tanzania. archive.fieldmuseum.org","Occurs on mainland","LC","No",0,0,100,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",166
"Acomys_dimidiatus","Rodentia","Muridae","Acomys","dimidiatus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",37.5,"Reported","Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Transformed 000 Species","Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",270
"Acomys_ignitus","Rodentia","Muridae","Acomys","ignitus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",24,"Reported","Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",22
"Acomys_johannis","Rodentia","Muridae","Acomys","johannis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",18.5,"Assumed isometric based on head-body length","Annals and Magazine of Natural History 8 9: 269-274 (1912)","Acomys_ignitus","Mammals of Tanzania. archive.fieldmuseum.org","Occurs on mainland","LC","No",0,0,100,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",73
"Acomys_kempi","Rodentia","Muridae","Acomys","kempi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",22,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",91
"Acomys_louisae","Rodentia","Muridae","Acomys","louisae",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",20.2,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",109
"Acomys_minous","Rodentia","Muridae","Acomys","minous",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",62.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs only on isolated islands","DD","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",6
"Acomys_mullah","Rodentia","Muridae","Acomys","mullah",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",28.4,"Reported","Global Ecology and Biogeography 18: 19-29 (2009)",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",35
"Acomys_nesiotes","Rodentia","Muridae","Acomys","nesiotes",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",52.5,"Reported","Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009)",NA,NA,"Occurs only on isolated islands","DD","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",6
"Acomys_percivali","Rodentia","Muridae","Acomys","percivali",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",22,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",43
"Acomys_russatus","Rodentia","Muridae","Acomys","russatus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",49.8,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",40,40,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",130
"Acomys_seurati","Rodentia","Muridae","Acomys","seurati",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",71.2,"Assumed isometric based on skull size","Isreal Journal of Zoology 40: 215-246 (1994)","Acomys_cahirinus","Isreal Journal of Zoology 40: 215-246 (1994)","Occurs on mainland","LC","No",0,0,100,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",46
"Acomys_spinosissimus","Rodentia","Muridae","Acomys","spinosissimus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",26.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",247
"Acomys_subspinosus","Rodentia","Muridae","Acomys","subspinosus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",21,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",17
"Acomys_wilsoni","Rodentia","Muridae","Acomys","wilsoni",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",18.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,30,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",186
"Aconaemys_fuscus","Rodentia","Octodontidae","Aconaemys","fuscus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",133.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",8
"Aconaemys_porteri","Rodentia","Octodontidae","Aconaemys","porteri",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",92,"Reported","Global Ecology and Biogeography 17: 274-283 (2008)",NA,NA,"Occurs on mainland","DD","No",100,0,0,"Transformed 000 Species","Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",8
"Aconaemys_sagei","Rodentia","Octodontidae","Aconaemys","sagei",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",96.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","DD","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",13
"Acrobates_pygmaeus","Diprotodontia","Acrobatidae","Acrobates","pygmaeus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",12,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",20,0,80,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",198
"Addax_nasomaculatus","Cetartiodactyla","Bovidae","Addax","nasomaculatus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",70000.3,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","CR","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",24
"Aegialomys_galapagoensis","Rodentia","Cricetidae","Aegialomys","galapagoensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",115.5,"Assumed isometric based on head-body length","Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)","Aegialomys_xanthaeolus","Eisenberg JF, Redford KH Mammals of the Neotropics (Volume 3 ): The Central Neotropics: Ecuador, Peru, Bolivia, Brazil (2000)","Occurs only on isolated islands","VU","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1
"Aegialomys_xanthaeolus","Rodentia","Cricetidae","Aegialomys","xanthaeolus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",79.8,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",66
"Aepeomys_lugens","Rodentia","Cricetidae","Aepeomys","lugens",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",37,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",95,0,5,"Imputed 000 Species","PHYLACINE 1.2",7
"Aepeomys_reigi","Rodentia","Cricetidae","Aepeomys","reigi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",40.6,"Reported","Mammalian Biology 66: 228-237 (2001)",NA,NA,"Occurs on mainland","VU","No",100,0,0,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",3
"Aepyceros_melampus","Cetartiodactyla","Bovidae","Aepyceros","melampus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",52500.1,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",461
"Aepyprymnus_rufescens","Diprotodontia","Potoroidae","Aepyprymnus","rufescens",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",3250,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",95
"Aeretes_melanopterus","Rodentia","Sciuridae","Aeretes","melanopterus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",732.4,"Assumed isometric based on head-body length","Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)","Belomys_pearsonii","Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)","Occurs on mainland","NT","No",100,0,0,"Imputed 000 Species","PHYLACINE 1.2",17
"Aeromys_tephromelas","Rodentia","Sciuridae","Aeromys","tephromelas",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",1075,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","DD","No",90,0,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",83
"Aeromys_thomasi","Rodentia","Sciuridae","Aeromys","thomasi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",1435,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on large land bridge islands","LC","No",90,0,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",73
"Aethomys_bocagei","Rodentia","Muridae","Aethomys","bocagei",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",107.6,"Reported","Global Ecology and Biogeography 18: 19-29 (2009)",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",47
"Aethomys_chrysophilus","Rodentia","Muridae","Aethomys","chrysophilus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",74.9,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",529
"Aethomys_granti","Rodentia","Muridae","Aethomys","granti",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",40,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",27
"Aethomys_hindei","Rodentia","Muridae","Aethomys","hindei",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",103.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",316
"Aethomys_ineptus","Rodentia","Muridae","Aethomys","ineptus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",74.9,"As relative of suggested similar size","Following Mammalian Species 808: 1-10 (2008) the two species are only seperatable by karyotyping or genetics","Aethomys_chrysophilus",NA,"Occurs on mainland","LC","No",80,0,20,"Transformed 000 Species","Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",84
