SiteID,Adoretus hirsutus,Adoretus tunuimaculatus,Allomyrina dichotoma,Anomala albopilasa,Anomala quelpatta,Anosimus decoratus,Arhopalus rusticus,Bifurcanomala aulax,Calvia decemguttata,Cephalallus unicolor,Colpodes buchananii,Colpodes sp. 1,Copris ochus,Copris tripartitus,Dorcus rectus,Dorcus titanus,Elaterid sp. 10,Episcapha sp. 1,Euparius oculatus,Harpalus sp.1,Harpalus sp.4,Hyperaxis fasciata,Laccophilus difficilis,Lychnuris rufa,Maladera verticalis,Mordellid sp.,Myllocerus sp.2,Olenecampeus formosanus,Onthophagus lenzii,Parastasia ferrieri,Paratachys sp.,Prionus insularis,Rhantus suturalis,Sandracottus mixtus,Scirtes japonicus,Shirahoshizo refescens,Shirahoshizo sp.,Spilota plagiicollis,Spondylis buprestoides,Stronglium sp.,Tenomerga anguliscutus,Tetrigus lewisi,Uloma latimanus,Acalolepta fraudatrix,Aegus luevicollis,Alleculinae sp.,Altica caerulescens,Aracerus fasciculatus,Asiopodabrus sp.,Attelabid sp.2,Blitopertha orientalis,Chlaenius naeviger,Cryphaeus duellicus,Cryphaeus sp.,Curculionid sp. 1,Diaperis lewisi,Dircaea erotyloides,Elaterid sp. 11,Enochrus simulans,Episcapha sp. 3,Exechesops leucopis,Exocentrus lineatus,Harpalus sp.6,Holotrichia diomphalia,Lathrobium sp.,Lebia retrofasciata,Lioptera erotyloides,Megopis sinica,Melolonthid sp.,Mesosa hirsuta,Microsternus sp.1,Mordellid sp.3,Nicrophorus concolor,Nicrophorus quadripuntatus,Pectocera fortunei,Phanerota appendiculata,Prismognathus dauricus,Prometopia sp.,Prosopocoilus astacoides,Pseudopyrochroa sp.,Rhadinomerus sp.,Rhagonycha asiatia,Sotoria fracta,Syntomus sp.,Xystrocera globosa,Amata sp. 1,Anomala luculenta,Apoderus rubidus,Byturus sp.,Calcilia sp.,Chlaenius virgulifer,Curculio dentipes,Cyllorhynchites ursulus,Elaterid sp. 6,Entiminae sp.,Episcapha sp. 2,Glichrochilus japonicus,Hamonia yedoensis,Harmonia axyridis,Holotrichia sp.2,Hylobius sp.,Luprops orientalis,Melanotus cete,Mimela splendens,Moechotypa diphysis,Ozotomerus japonicus laferi,Podabrus sp.,Prosopocoilus inclinatus,Ptillodactylid sp. 1,Ptilodactylid sp.4,Ptilodactylidsp.3,Saperda mandschukuoensis,Sipalinus gigas,Trox sp.,Caenocryptorrhynchus sp.,Calleida onoha,Calvia muiri,Ceropria sp.,Elaterid sp. 2,Elaterid sp. 3,Hilytrogus bicoloreus,Illeis koebelei,Mycetophagus antennatus,Mycetophagus sp.,Niphades sp.,Ocypus sp.2,Platydema sp.3,Pyrrhalta fuscipennis,Scotylid sp.,Sophrops striata,Taicona sp.,Agelasa nigriceps,Agrilus euonymi,Ambrosiodmus rubricollis,Aphodius sp.,Athous sp.,Basanus tsushimensis komp,Bembidion sp.,Biphyllus sp. 1,Browis obscurus,Endomychus nigropiceus,Ernobius sp.1,Gasterocercus tamanukii,Heterolitus sp.,Hypophloeus sp.,Lebia idea,Macratria sp.,Pimelocerus sp.,Saprosites sp.,Sericaria sp. 2,Synuchus sp.,Thymalus sp.,Xyleborus sp. 1,Bolbelamus coreanus,Eucnemid sp.,Hatachiana jiriseanensis,Hotaria papariensis,Pidonia amurensis,Sericaria sp.,Cryptocephalus sp.3,Doius divaticatus,Mimela sp.,Platydema sp.1,Psephactus remiger,Epuraea sp.,Lycocerus vitellinus,Mordellid sp.2,Opilo carinatus,Pediacus japonicus,Pidonia ruficolis,Simplocaria bicolor,Sybrodiboma subfaciata
Choi2018_2_1,2,1,1,5,3,1,1,1,1,1,2,19,1,4,3,14,1,1,1,2,1,2,3,1,5,9,1,1,4,1,1,1,9,6,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_2_2,1,0,0,4,70,0,0,6,0,0,5,13,0,3,9,0,10,2,0,3,0,0,0,0,20,1,0,0,1,1,0,0,5,1,0,0,0,0,0,1,0,1,0,1,2,11,2,1,1,1,4,1,3,1,1,1,1,2,1,1,1,1,1,196,1,3,1,3,1,1,4,2,3,15,6,1,3,2,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_2_3,0,0,0,1,28,0,0,1,0,0,4,11,0,0,0,14,7,6,0,2,0,4,1,0,74,0,0,0,0,1,0,1,32,7,1,0,0,7,0,1,0,1,0,3,0,1,0,0,6,0,0,0,0,0,0,0,1,5,0,0,0,1,0,70,0,2,1,0,1,0,1,0,1,12,0,0,3,0,0,2,0,5,0,3,0,3,1,1,1,2,1,4,2,1,1,4,2,1,1,1,1,3,2,1,1,3,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_2_4,0,0,0,0,2,0,0,0,0,0,4,31,2,8,0,0,12,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,20,0,14,0,0,0,0,0,5,0,5,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1,2,1,2,1,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_2_5,0,0,0,0,117,0,0,0,0,0,8,30,0,0,7,3,2,2,0,10,0,0,2,0,57,1,0,0,1,0,0,0,17,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,3,1,0,0,0,1,0,95,0,3,0,0,3,0,6,13,0,5,1,0,6,0,0,0,0,4,0,2,0,1,0,0,2,0,0,0,0,8,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,4,1,1,1,1,1,2,4,2,1,3,2,3,1,1,1,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_2_6,0,0,0,0,2,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,6,0,0,0,1,0,8,0,15,0,0,0,0,0,3,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_2_7,1,0,0,0,15,0,0,0,0,0,2,8,0,0,1,6,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,1,24,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,93,0,5,1,0,3,0,0,1,2,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0
Choi2018_2_8,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,1,35,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,72,0,0,0,0,0,0,1,7,1,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,1,4,1,1,5,3,1
