SiteID,Abrostola major,Acasis viretata,Acosmeryx naga,Acronicta major,Alcis angulifera,Amphipoea ussuriensis,Amphipyra schrenckii,Athetis albisignata,Cabera purus,Caligula jonasii,Calyptra gruesa,Cleora insolita,Deroca inconclusa,Descoreba simplex,Diachrysia nadeja,Diarsia canescens,Diarsia pacifica,Ditrigona komarovi,Ditrigona virgo,Duliophyle agitata,Duliophyle majuscularia,Dysstroma cinereata,Ectropis crepuscularia,Ectropis excellens,Eilema cribrata,Endropiodes indictinarius,Epiplema moza,Epodonta lineata,Eulithis convergenata,Euphyia cineraria,Eupithecia neosatyrata,Eupithecia signigera,Eupithecia subbreviata,Evecliptopera decurrens,Geometra dieckmanni,Gortyna fortis,Hadennia incongruens,Hermonassa cecilia,Hydraecia petasitis,Hydrillodes morosa,Hypena melanica,Hypomecis punctinalis,Hypomecis roboraria,Kentochrysalia streckeri,Koyaga falsa,Laciniodes denigratus,Lassaba nikkonis,Latoia sinica,Lomographa temerata,Menophra senilis,Miltochrista miniata,Myrteta angelica,Nothomiza aureolaria,Obeidia tigrata,Odontopera arida,Oreta pulchripes,Ourapteryx koreana,Ourapteryx maculicaudaria,Parabapta clarissa,Paracolax fascialis,Paralebeda plagiata,Parapsestis argenteopicta,Pareclipsis gracilis,Peridea gigantea,Phlegetonia delatrix,Phlossa conjuncta,Phthonosema tendinosaria,Polychrysia splendida,Pseudepione magnaria,Pseuderannis lomozemia,Quadricalcarifera cyanea,Quadricalcarifera subgeneris,Racotis petrosa,Semidonta biloba,Shaka atrovittatus,Sineugraphe oceanica,Spatalia doerriesi,Spilosoma album,Synegia esther,Synegia hadassa,Trachea atriplicis,Triphaenopsis jezoensis,Xerodes rufescentaria,Xylena confusa,Adris tyrannus,Agnidra scabiosa,Agylla gigantea,Ambulyx japonica,Amphipoea burrowsi,Amphipyra tripartita,Amraica superans,Atrachea nitens,Cerastis pallescens,Clavipalpula aurariae,Cnethodonta grisescens,Comibaena delicatior,Cosmia achatina,Craniophora ligustri,Craniophora pacifica,Craniophora praeclara,Culcula panterinaria,Daddala lucilla,Dudusa sphigiformis,Dysaethria cretacea,Euplexia koreaeplexia,Euplexia lucipara,Euproctis piperita,Euromoia subpulchra,Gandaritis whitelyi,Gelastocera exusta,Heterophleps confusa,Hexafrenum leucodera,Hydrelia adesma,Hypsomadius insignis,Hysterura declinans,Idaea auricruda,Idaea biselata,Kunugia undans,Lophocosma atriplaga,Lophoruza pulcherrima,Lymantria mathura,Marumba spectabilis,Mecodina nubiferalis,Microleon longipalpis,Miltochrista striata,Mocis annetta,Mythimna divergens,Mythimna monticola,Ninodes watanabei,Notodonta basilinea,Olivenebula oberthueri,Oroplema oyamana,Orthogonia sera,Orthosia odiosa,Ourapteryx subpunctaria,Pangrapta perturbans,Paracolax trilinealis,Paradarisa chloauges,Parasiccia altaica,Parectropis nigrosparsa,Peridroma saucia,Phthonandria atrilineata,Problepsis eucircota,Pseudoips faganus,Pseudoips sylpha,Scopula epiorrhoe,Scopula modicaria,Scoupla nupta,Sibatania mactata,Spilarctia seriatopunctata,Sugia erastroides,Synegia limitatoides,Timandra comptaria,Tyloptera bella,Xandrames dholaria,Xerodes albonotaria,Zanclognatha triplex,Zaranga pannosa,Aethalura ignobilis,Aethalura nanaria,Agathia carissima,Amphipyra acheron,Antheraea yamamai,Arcte coerula,Arctornis album,Arctornis kumatai,Autoba tristalis,Chloroclystis v-ata,Comibaena amoenaria,Comostola subtiliaria,Corymica pryeri,Deileptenia ribeata,Eilema japonica,Fentonia ocypete,Gelasma illiturata,Herminia grisealis,Hipoepa fractalis,Iragaodes nobilis,Iscadia uniformis,Jankowskia fuscaria,Lymantria dispar,Metopta rectifasciata,Nodaria tristis,Nordstroemia japonica,Odonestis pruni,Oreta loochooana,Orthocabera tinagmaria,Orthonama obstipata,Ourapteryx nivea,Peridea lativitta,Pidorus glaucopis,Plagodis dolabraria,Scedopla diffusa,Scopula nigropunctata,Sugia idiostygia,Tethea ampliata,Triphaenopsis cinerescens,Triphaenopsis lucilla,Abraxas sylvata,Apamea striata,Athetis pallidipennis,Auzata nigrata,Chasminodes nigrilinea,Comibaena diluta,Cyclidia substigmaria,Ercheia umbrosa,Eulithis fabiolaria,Eupithecia consortaria,Eustroma melancholicum,Euwilemania angulata,Gandaritis fixseni,Herminia tarsicrinalis,Hypena albopunctalis,Hypena innocua,Hypena trigonalis,Idaea effusaria,Lygephila recta,Naganoella timandra,Oxymacaria normata,Paradarisa consonaria,Phillosphingia dissimilis,Protoboarmia simpliciaria,Simplicia niphona,Sineugraphe bipartita,Sineugraphe exusta,Spodoptera pecten,Stauropus fagi,Theretra japonica,Xestia efflorescens,Xestia kollari,Acasis appensata,Amphipyra livida,Athetis gluteosa,Austrapoda dentata,Cyana hamata,Ennominae sp,Herminae sp,Heterolocha aristonaria,Hypena amica,Mythimna separata,Neocifuna jankowskii,Orthosia carnipennis,Oruza submirella,Xylopolia bella,Agrotis tokionis,Ampelophaga rubiginosa,Anomis privata,Athetis funesta,Auaxa sulphurea,Bryophila orthogramma,Catocala dissimilis,Catocala dula,Cosmia moderata,Dendrolimus spectabilis,Dendrolimus superans,Diarsia deparca,Dinumma deponens,Dypterygia caliginosa,Dysmilichia gemella,Ectropis aigneri,Edessena hamada,Eilema griseola,Eupithecia interpunctaria,Fascellina chromataria,Gonepatica opalina,Habrosyne aurorina,Heterothera postalbida,Hyposemansis albipuncta,Ivela auripes,Koyaga magnumisma,Lymantria monacha,Marumba gaschkewitschii,Marumba sperchius,Mecodina cineracea,Oruza submira,Panolis japonica,Paracolax contigua,Paracolax pryeri,Phalera flavescens,Rhynchobapta cervinaria,Rikiosatoa grisea,Samia cynthia,Scopula floslactata,Sypnoides picta,Agathia visenda,Amphipyra monolitha,Amphitrogia amphidecta,Ascotis imparata,Caligula japonica,Chiasmia defixaria,Craniophora fasciata,Ctenognophos grandinaria,Ctenoplusia agnata,Ctenoplusia albostriata,Earias cupreoviridis,Hepatica anceps,Hoplodrina euryptera,Krananda semihyalina,Lemyra inaequalis,Lophomilia flaviplaga,Mesophalera sigmata,Oruza glaucotorna,Rivula errabunda,Satoblephara parvularia,Tamba corealis,Abrostola ussuriensis,Asthena corculina,Callabraxas compositata,Devenilia corearia,Ecliptopera umbrosaria,Edessena gentiusalis,Eilema deplana,Eulithis ledereri,Euproctis pulverea,Gymnoscelis deleta,Hemipsectra fallax,Hemistola dijuncta,Hepatica nakatanii,Heterostegane hyriaria,Hypena strigatus,Idia curvipalpis,Jodis lactearia,Macrocilix mysticata,Mniotype melanodonta,Mosopia sordidum,Neustrotia noloides,Paraona staudingeri,Planociampa modesta,Pylargosceles steganioides,Scopula apicipunctata,Scopula semiignobilis,Sphragifera biplagiata,Spirama retorta,Uropyia meticulodina,Xanthorhoe saturata,Zanclognatha fumosa,Zola terranea
Choi2018_1_1,1,1,1,1,7,3,1,1,2,6,1,15,1,4,1,1,2,1,1,2,3,1,2,11,1,1,1,1,1,12,1,1,1,1,1,2,1,2,1,60,1,22,3,2,22,1,3,1,2,9,1,6,1,3,7,1,1,1,1,3,1,1,1,1,1,1,3,1,2,17,7,2,1,3,17,2,1,2,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_2,0,0,0,2,36,1,0,19,0,7,0,11,7,4,0,2,1,0,6,8,7,0,0,27,2,0,0,0,0,15,0,0,0,1,2,0,2,9,0,14,0,18,7,3,2,0,0,7,6,14,0,11,1,0,2,1,3,2,0,6,0,2,14,0,0,0,11,0,1,0,2,29,1,0,14,0,0,1,6,3,0,3,2,0,1,2,3,4,1,1,8,2,1,2,2,1,3,1,1,4,3,1,5,1,1,1,3,2,1,2,1,6,1,2,1,1,2,1,3,1,3,8,1,1,12,1,1,5,1,1,1,4,1,1,1,1,1,2,4,14,1,4,1,2,3,15,2,1,1,12,6,1,1,1,10,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_3,0,0,0,3,32,1,2,2,0,8,1,3,7,1,0,0,0,0,0,8,13,0,0,6,0,0,5,0,3,4,1,0,0,0,14,0,0,15,0,6,0,14,29,1,9,0,0,8,2,14,1,6,1,0,2,0,5,0,2,3,5,2,7,1,0,0,2,0,0,0,4,11,0,2,16,1,26,0,1,1,0,6,1,0,0,15,3,12,0,0,1,2,1,0,11,0,1,0,0,0,12,2,12,3,0,0,0,1,0,0,0,5,0,12,0,5,0,3,2,0,24,7,0,0,20,0,0,4,0,19,0,4,0,0,0,0,0,0,0,28,0,1,0,8,2,0,3,1,0,3,45,0,0,0,5,1,4,1,1,7,2,1,3,2,1,4,2,1,2,1,1,1,1,4,3,1,1,2,5,1,1,1,1,3,14,2,1,1,1,1,2,1,5,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_4,0,0,1,1,45,0,0,0,0,9,1,0,2,3,1,0,0,0,0,0,3,0,0,13,1,1,1,1,1,3,0,0,1,1,0,0,7,5,0,13,0,12,3,1,5,0,0,1,1,3,1,8,0,0,5,0,2,1,2,11,6,0,8,1,0,0,1,0,0,25,40,2,2,3,54,4,0,10,0,0,0,2,3,0,0,0,1,2,0,1,21,0,0,0,3,0,2,0,2,1,2,0,11,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0,23,0,0,1,4,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,2,15,2,2,0,2,0,0,11,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,13,3,2,0,1,2,1,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_5,0,0,1,3,23,1,0,1,0,8,0,11,2,1,0,1,1,0,2,0,2,0,0,5,0,1,5,0,4,13,0,0,0,0,0,0,4,2,0,29,0,23,2,0,4,0,0,8,4,18,0,1,0,0,7,1,12,0,0,5,1,7,5,0,0,0,2,0,0,3,7,1,1,6,50,1,0,0,3,2,0,0,0,0,0,0,10,12,0,5,1,1,0,0,1,0,0,0,2,0,3,0,3,4,0,0,0,2,0,0,0,2,0,10,0,1,0,2,12,0,1,1,0,0,5,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,1,1,8,1,0,3,0,0,0,2,2,1,5,3,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_6,1,1,0,0,17,0,2,0,0,8,1,9,0,3,0,1,0,0,1,0,12,0,0,10,1,0,7,0,0,2,0,1,7,0,2,0,15,7,0,12,0,10,4,0,2,0,0,1,2,16,0,26,1,0,4,1,1,0,2,2,1,0,7,1,0,0,1,0,1,12,3,2,11,0,1,1,6,0,0,2,0,11,11,0,0,3,10,0,0,1,3,0,0,0,0,0,4,0,0,1,1,1,1,3,0,0,1,0,0,1,0,1,0,0,0,13,1,0,1,2,2,2,0,2,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,3,1,0,0,0,2,4,0,0,0,2,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,3,3,0,0,2,0,0,3,1,0,0,0,0,0,3,0,0,0,3,0,1,0,1,0,4,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1,1,3,2,4,5,1,1,1,1,1,4,1,1,1,1,5,1,3,6,1,11,1,5,1,1,1,1,6,1,3,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_7,0,0,0,0,36,0,1,0,0,3,0,1,1,0,0,1,1,0,1,5,10,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,4,14,0,2,0,0,1,1,7,0,0,0,5,0,5,0,0,0,0,0,0,0,3,6,6,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,4,1,0,0,0,0,0,0,0,1,0,4,0,0,0,2,2,1,0,2,0,0,5,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,2,1,1,1,1,3,2,2,1,1,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choi2018_1_8,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,2,0,0,0,0,2,0,6,0,0,0,0,0,1,8,0,0,2,1,0,1,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1
